74,48,99,18,73
52,61,20,71,42
39,16,28,50,41
23,11,11,3,21
53,75,55,30,8
84,98,83,19,64
47,83,72,92,88
95,8,63,70,37
83,48,16,35,39
18,24,82,1,91
12,14,13,16,87
70,2,90,91,36
92,93,21,51,53
87,26,58,16,86
57,12,15,22,91
62,38,50,68,21
71,84,10,24,4
26,19,85,97,49
61,97,56,67,93
9,52,52,81,4
71,25,17,54,9
21,45,21,24,84
42,20,13,74,18
87,90,61,27,13
68,65,7,6,76
52,93,36,63,89
74,54,78,43,65
78,19,42,47,10
79,70,83,11,72
37,1,66,69,47
14,89,96,79,23
71,1,33,20,65
39,96,64,61,77
70,36,97,3,22
66,4,71,72,3
78,56,38,67,48
70,68,98,58,69
72,1,84,61,4
42,82,86,58,62
1,38,1,85,29
29,36,64,55,46
68,79,56,27,30
74,49,57,75,23
59,83,63,26,10
73,76,1,22,75
45,20,76,64,91
90,88,73,97,2
92,35,51,62,33
5,55,22,10,24
84,48,36,44,12
78,89,34,74,4
72,29,21,35,18
93,65,47,96,18
59,30,22,52,27
72,45,70,47,57
98,99,72,55,34
61,15,35,42,23
37,34,72,30,36
52,81,96,8,71
74,54,15,97,25
