26,55,89,1,3
28,1,29,15,57
81,48,93,4,64
16,97,49,88,87
77,29,44,85,27
97,80,7,18,21
8,61,10,6,75
36,47,62,31,97
32,85,62,18,82
82,19,41,71,23
16,73,45,19,21
7,23,47,17,74
80,86,53,39,12
2,71,8,74,48
17,85,16,12,29
51,75,83,14,67
80,54,99,32,9
56,69,42,43,23
76,7,1,85,46
76,47,1,51,20
91,10,71,15,61
27,35,81,60,60
44,46,2,66,74
30,36,29,63,75
46,78,73,2,27
35,43,89,55,86
11,2,28,96,31
29,91,44,58,71
46,94,27,53,37
5,99,58,20,49
5,13,14,92,50
82,33,80,25,16
99,69,73,7,38
83,59,97,49,4
4,6,71,92,9
89,13,40,60,35
76,53,18,86,55
65,71,97,17,88
97,19,70,82,85
15,2,69,44,16
7,72,98,94,96
83,56,80,82,69
66,1,49,3,52
54,3,27,28,19
4,52,93,86,81
83,19,30,24,79
98,4,59,39,96
74,7,25,64,78
21,15,52,23,5
85,85,98,15,28
36,46,42,90,69
34,72,59,71,81
36,63,60,6,27
19,75,4,15,95
53,59,31,22,77
91,36,14,16,27
74,47,37,99,4
46,7,97,8,16
65,23,91,95,91
