64,38,94,96,80,93,8,77,43,43,8,7,33,20,94,44,86,79,45,52
99,5,40,19,1,41,22,99,83,25,32,91,41,10,37,23,34,10,52,22
8,16,96,99,24,50,67,60,69,59,8,16,69,76,91,81,15,87,69,72
72,88,35,22,46,26,25,2,3,38,33,18,90,65,18,90,99,73,52,65
51,14,8,7,15,35,90,66,88,89,82,33,86,14,39,97,32,84,44,8
36,60,43,74,20,76,81,71,4,49,36,31,76,97,15,23,15,5,51,94
17,62,32,73,73,81,26,79,82,51,3,13,90,96,73,76,8,47,69,85
40,27,49,54,23,32,22,64,55,50,87,64,79,38,60,36,40,57,26,54
17,54,28,92,30,7,9,85,50,91,32,26,68,44,70,60,98,4,42,31
28,76,7,50,37,60,78,19,50,1,15,33,85,84,68,25,26,88,28,39
25,36,91,39,6,29,23,99,47,60,9,27,34,27,11,3,34,89,68,66
25,58,13,55,72,98,90,88,60,80,8,52,92,21,39,24,29,95,73,50
42,15,75,55,83,82,99,52,98,96,81,77,44,65,84,87,94,17,83,62
20,58,18,16,95,1,39,28,70,51,36,16,93,46,14,23,92,64,64,1
39,70,41,3,46,46,42,23,1,24,57,28,1,38,25,97,61,46,23,53
22,89,68,28,41,93,21,36,86,34,94,30,48,11,40,44,26,15,42,78
72,66,41,69,6,74,90,43,99,39,93,51,33,92,75,42,57,63,8,5
96,89,75,98,3,34,41,54,36,74,84,1,27,59,82,71,46,61,71,71
1,77,24,27,10,34,7,43,50,26,12,39,62,69,84,39,60,68,78,36
86,17,18,61,9,76,52,19,41,32,19,80,40,71,58,34,19,75,55,41
