88,49,50,61,60,19,82,83,90,67
33,39,58,44,58,67,24,40,72,19
5,68,92,97,92,77,41,90,72,53
7,97,89,5,2,25,89,30,58,99
3,16,56,18,69,21,79,41,11,27
27,92,12,77,48,22,51,36,63,54
97,20,90,14,76,98,91,9,51,81
15,24,88,97,84,29,95,66,74,25
54,22,65,82,83,4,64,30,6,60
49,14,9,17,52,29,14,91,8,85
2,90,28,79,53,83,67,67,7,55
3,59,42,99,42,95,36,66,25,65
60,12,91,74,8,94,31,79,62,20
20,43,68,27,34,80,51,74,91,93
89,64,34,22,54,9,92,51,55,35
66,60,65,77,17,2,17,7,74,37
75,95,80,83,46,12,26,28,78,95
72,32,53,71,45,32,71,76,37,83
98,32,86,36,17,70,82,27,80,6
38,17,4,10,25,23,3,18,54,13
