73,26,39,55,72,89,6,1,71,3
7,28,27,1,57,29,2,15,97,57
26,81,85,48,12,93,23,4,85,64
53,16,43,97,90,49,54,88,59,87
48,77,62,29,79,44,16,85,52,27
1,97,30,80,30,7,87,18,30,21
72,8,86,61,71,10,99,6,14,75
48,36,48,47,61,62,86,31,50,97
82,32,40,85,2,62,9,18,8,82
24,82,50,19,32,41,42,71,49,23
66,16,41,73,43,45,4,19,42,21
90,7,33,23,24,47,2,17,4,74
74,80,6,86,32,53,9,39,3,12
22,2,67,71,81,8,14,74,42,48
29,17,93,85,11,16,60,12,30,29
73,51,3,75,29,83,22,14,62,67
67,80,3,54,10,99,90,32,59,9
79,56,22,69,43,42,83,43,59,23
24,76,50,7,21,1,97,85,10,46
65,76,11,47,77,1,28,51,66,20
88,91,72,10,79,71,51,15,85,61
34,27,62,35,45,81,72,60,69,60
77,44,15,46,73,2,34,66,92,74
81,30,29,36,27,29,53,63,52,75
14,46,97,78,59,73,47,2,15,27
51,35,95,43,37,89,61,55,62,86
16,11,88,2,20,28,3,96,83,31
12,29,31,91,66,44,73,58,19,71
19,46,2,94,23,27,83,53,42,37
53,5,46,99,13,58,13,20,10,49
97,5,19,13,62,14,56,92,96,50
1,82,71,33,32,80,7,25,33,16
49,99,98,69,74,73,59,7,76,38
9,83,14,59,89,97,97,49,84,4
63,4,9,6,70,71,6,92,85,9
89,89,78,13,93,40,27,60,7,35
92,76,13,53,39,18,67,86,89,55
73,65,48,71,39,97,30,17,36,88
84,97,85,19,91,70,34,82,73,85
14,15,56,2,88,69,69,44,23,16
57,7,42,72,60,98,59,94,78,96
88,83,20,56,77,80,13,82,16,69
18,66,13,1,77,49,51,3,88,52
52,54,82,3,16,27,52,28,18,19
56,4,81,52,94,93,52,86,31,81
39,83,7,19,14,30,79,24,68,79
71,98,77,4,11,59,17,39,13,96
36,74,20,7,81,25,4,64,19,78
1,21,4,15,25,52,4,23,1,5
60,85,80,85,48,98,52,15,73,28
71,36,16,46,40,42,11,90,29,69
16,34,36,72,12,59,95,71,45,81
92,36,98,63,67,60,40,6,81,27
12,19,96,75,32,4,98,15,41,95
42,53,7,59,21,31,66,22,80,77
77,91,21,36,4,14,74,16,56,27
36,74,61,47,95,37,38,99,94,4
94,46,4,7,83,97,99,8,72,16
82,65,18,23,66,91,52,95,31,91
