Problem:    pfsp
Rows:       36061
Columns:    2371 (1770 integer, 1770 binary)
Non-zeros:  107461
Status:     INTEGER UNDEFINED
Objective:  makespan = 0 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 makespan                    0                             
     2 rest1[1]                    0            72               
     3 rest1[2]                    0            73               
     4 rest1[3]                    0             7               
     5 rest1[4]                    0            26               
     6 rest1[5]                    0            53               
     7 rest1[6]                    0            48               
     8 rest1[7]                    0             1               
     9 rest1[8]                    0            72               
    10 rest1[9]                    0            48               
    11 rest1[10]                   0            82               
    12 rest1[11]                   0            24               
    13 rest1[12]                   0            66               
    14 rest1[13]                   0            90               
    15 rest1[14]                   0            74               
    16 rest1[15]                   0            22               
    17 rest1[16]                   0            29               
    18 rest1[17]                   0            73               
    19 rest1[18]                   0            67               
    20 rest1[19]                   0            79               
    21 rest1[20]                   0            24               
    22 rest1[21]                   0            65               
    23 rest1[22]                   0            88               
    24 rest1[23]                   0            34               
    25 rest1[24]                   0            77               
    26 rest1[25]                   0            81               
    27 rest1[26]                   0            14               
    28 rest1[27]                   0            51               
    29 rest1[28]                   0            16               
    30 rest1[29]                   0            12               
    31 rest1[30]                   0            19               
    32 rest1[31]                   0            53               
    33 rest1[32]                   0            97               
    34 rest1[33]                   0             1               
    35 rest1[34]                   0            49               
    36 rest1[35]                   0             9               
    37 rest1[36]                   0            63               
    38 rest1[37]                   0            89               
    39 rest1[38]                   0            92               
    40 rest1[39]                   0            73               
    41 rest1[40]                   0            84               
    42 rest1[41]                   0            14               
    43 rest1[42]                   0            57               
    44 rest1[43]                   0            88               
    45 rest1[44]                   0            18               
    46 rest1[45]                   0            52               
    47 rest1[46]                   0            56               
    48 rest1[47]                   0            39               
    49 rest1[48]                   0            71               
    50 rest1[49]                   0            36               
    51 rest1[50]                   0             1               
    52 rest1[51]                   0            60               
    53 rest1[52]                   0            71               
    54 rest1[53]                   0            16               
    55 rest1[54]                   0            92               
    56 rest1[55]                   0            12               
    57 rest1[56]                   0            42               
    58 rest1[57]                   0            77               
    59 rest1[58]                   0            36               
    60 rest1[59]                   0            94               
    61 rest1[60]                   0            82               
    62 rest2[1,2]                  0            32               
    63 rest2[1,3]                  0            93               
    64 rest2[1,4]                  0            88               
    65 rest2[1,5]                  0            52               
    66 rest2[1,6]                  0            94               
    67 rest2[1,7]                  0            63               
    68 rest2[1,8]                  0            76               
    69 rest2[1,9]                  0            40               
    70 rest2[1,10]                 0            56               
    71 rest2[2,2]                  0            26               
    72 rest2[2,3]                  0            39               
    73 rest2[2,4]                  0            55               
    74 rest2[2,5]                  0            72               
    75 rest2[2,6]                  0            89               
    76 rest2[2,7]                  0             6               
    77 rest2[2,8]                  0             1               
    78 rest2[2,9]                  0            71               
    79 rest2[2,10]                 0             3               
    80 rest2[3,2]                  0            28               
    81 rest2[3,3]                  0            27               
    82 rest2[3,4]                  0             1               
