2566,"[6, 9, 18, 2, 3, 1, 7, 14, 13, 15, 19, 10, 12, 17, 4, 0, 11, 5, 16, 8]"
2591,"[11, 6, 19, 5, 0, 7, 17, 15, 16, 2, 10, 3, 8, 14, 18, 9, 12, 13, 1, 4]"
2599,"[13, 12, 1, 2, 7, 4, 14, 19, 17, 18, 15, 6, 3, 10, 5, 11, 9, 0, 16, 8]"
2601,"[6, 12, 3, 7, 11, 10, 0, 19, 18, 8, 9, 5, 15, 16, 13, 2, 1, 17, 14, 4]"
2611,"[18, 16, 6, 19, 9, 8, 14, 7, 5, 13, 10, 3, 4, 15, 0, 11, 17, 12, 2, 1]"
2616,"[11, 7, 4, 17, 2, 0, 15, 3, 14, 13, 9, 10, 5, 12, 6, 18, 1, 19, 8, 16]"
2619,"[10, 12, 3, 14, 18, 7, 17, 11, 6, 19, 9, 16, 8, 15, 2, 13, 5, 4, 0, 1]"
2627,"[8, 7, 4, 19, 5, 6, 1, 2, 0, 17, 9, 3, 15, 13, 16, 10, 11, 14, 12, 18]"
2635,"[4, 6, 0, 19, 5, 2, 7, 1, 11, 13, 3, 17, 12, 15, 9, 18, 10, 14, 16, 8]"
2637,"[16, 8, 4, 3, 6, 10, 7, 18, 1, 9, 15, 0, 5, 13, 11, 14, 19, 17, 2, 12]"
2639,"[2, 10, 9, 14, 13, 4, 5, 6, 15, 0, 1, 8, 17, 19, 18, 7, 3, 16, 11, 12]"
2651,"[4, 15, 6, 18, 1, 14, 10, 9, 12, 3, 8, 11, 2, 19, 16, 0, 5, 7, 13, 17]"
2651,"[18, 4, 2, 5, 7, 1, 13, 3, 10, 12, 8, 19, 0, 9, 11, 16, 6, 15, 17, 14]"
2656,"[8, 5, 2, 19, 4, 15, 14, 10, 13, 18, 1, 3, 9, 17, 16, 7, 11, 6, 12, 0]"
2664,"[12, 11, 3, 15, 0, 4, 19, 18, 9, 5, 6, 13, 17, 7, 14, 10, 1, 2, 16, 8]"
2669,"[13, 11, 3, 6, 18, 19, 0, 7, 16, 9, 2, 5, 4, 17, 12, 15, 1, 14, 10, 8]"
2670,"[2, 8, 9, 11, 4, 17, 0, 18, 16, 13, 3, 6, 15, 5, 1, 10, 12, 19, 14, 7]"
2672,"[2, 14, 18, 6, 9, 1, 3, 17, 19, 7, 8, 15, 11, 0, 5, 16, 10, 12, 4, 13]"
2674,"[4, 12, 14, 6, 11, 3, 18, 0, 1, 10, 19, 5, 15, 7, 2, 17, 16, 8, 13, 9]"
2679,"[15, 1, 2, 10, 6, 19, 11, 16, 0, 18, 8, 5, 9, 14, 13, 3, 17, 7, 12, 4]"
2683,"[6, 7, 12, 14, 19, 17, 13, 4, 3, 2, 15, 9, 16, 1, 8, 10, 11, 18, 0, 5]"
2685,"[13, 9, 15, 8, 10, 17, 2, 5, 7, 18, 3, 12, 11, 0, 16, 4, 19, 1, 14, 6]"
2690,"[8, 18, 7, 9, 1, 16, 12, 14, 17, 11, 4, 10, 19, 0, 3, 15, 13, 6, 2, 5]"
2695,"[5, 6, 0, 15, 16, 4, 17, 14, 2, 11, 18, 13, 10, 3, 8, 12, 9, 7, 19, 1]"
2696,"[12, 16, 9, 0, 15, 13, 1, 17, 18, 5, 6, 2, 14, 4, 10, 3, 19, 7, 8, 11]"
2697,"[14, 13, 9, 11, 16, 1, 0, 2, 7, 5, 3, 12, 10, 18, 8, 19, 17, 4, 6, 15]"
2699,"[19, 16, 10, 6, 11, 1, 18, 14, 13, 9, 17, 5, 3, 2, 15, 7, 12, 0, 8, 4]"
2702,"[18, 10, 8, 15, 9, 12, 17, 6, 16, 14, 7, 5, 0, 2, 13, 4, 3, 11, 19, 1]"
2704,"[14, 10, 8, 1, 16, 4, 2, 3, 5, 9, 13, 0, 17, 11, 7, 18, 12, 15, 19, 6]"
2705,"[2, 7, 6, 13, 16, 15, 5, 9, 10, 11, 8, 4, 14, 0, 19, 12, 3, 18, 1, 17]"
