1818,"[7, 8, 17, 13, 1, 2, 9, 11, 4, 18, 15, 10, 5, 19, 3, 6, 12, 16, 0, 14]"
1820,"[10, 6, 7, 17, 3, 11, 13, 8, 0, 19, 9, 1, 16, 4, 5, 14, 12, 2, 15, 18]"
1860,"[14, 13, 9, 11, 16, 1, 0, 2, 7, 5, 3, 12, 10, 18, 8, 19, 17, 4, 6, 15]"
1866,"[12, 11, 18, 8, 13, 4, 6, 16, 0, 5, 17, 9, 1, 3, 19, 15, 7, 10, 14, 2]"
1876,"[17, 10, 6, 5, 4, 19, 0, 14, 2, 15, 8, 13, 16, 18, 3, 9, 7, 11, 1, 12]"
1884,"[11, 7, 4, 17, 2, 0, 15, 3, 14, 13, 9, 10, 5, 12, 6, 18, 1, 19, 8, 16]"
1896,"[8, 13, 17, 5, 14, 0, 2, 3, 6, 11, 16, 18, 4, 10, 15, 12, 1, 19, 7, 9]"
1896,"[6, 10, 1, 7, 3, 13, 9, 18, 11, 12, 0, 16, 4, 5, 8, 19, 17, 2, 14, 15]"
1896,"[1, 3, 11, 5, 13, 15, 7, 0, 12, 10, 19, 17, 16, 14, 8, 18, 6, 2, 9, 4]"
1899,"[13, 11, 3, 6, 18, 19, 0, 7, 16, 9, 2, 5, 4, 17, 12, 15, 1, 14, 10, 8]"
1902,"[13, 2, 19, 0, 11, 9, 5, 16, 15, 7, 6, 8, 12, 17, 1, 10, 4, 14, 3, 18]"
1904,"[2, 10, 9, 14, 13, 4, 5, 6, 15, 0, 1, 8, 17, 19, 18, 7, 3, 16, 11, 12]"
1911,"[2, 8, 9, 11, 4, 17, 0, 18, 16, 13, 3, 6, 15, 5, 1, 10, 12, 19, 14, 7]"
1913,"[10, 12, 5, 15, 6, 4, 19, 16, 9, 17, 3, 8, 18, 2, 1, 13, 11, 0, 7, 14]"
1914,"[8, 7, 4, 19, 5, 6, 1, 2, 0, 17, 9, 3, 15, 13, 16, 10, 11, 14, 12, 18]"
1917,"[7, 13, 9, 12, 5, 6, 8, 0, 10, 11, 4, 17, 19, 15, 16, 18, 1, 14, 2, 3]"
1925,"[17, 12, 15, 10, 18, 9, 6, 13, 16, 14, 1, 7, 11, 3, 5, 19, 4, 0, 2, 8]"
1926,"[13, 1, 9, 17, 5, 12, 6, 11, 2, 0, 16, 10, 18, 7, 3, 4, 14, 19, 15, 8]"
1931,"[10, 12, 3, 14, 18, 7, 17, 11, 6, 19, 9, 16, 8, 15, 2, 13, 5, 4, 0, 1]"
1932,"[0, 11, 7, 17, 4, 14, 19, 16, 13, 9, 5, 10, 2, 15, 8, 12, 1, 6, 18, 3]"
1934,"[12, 11, 3, 15, 0, 4, 19, 18, 9, 5, 6, 13, 17, 7, 14, 10, 1, 2, 16, 8]"
1935,"[8, 11, 1, 14, 13, 15, 2, 17, 10, 5, 12, 7, 3, 19, 18, 4, 9, 6, 16, 0]"
1937,"[15, 1, 2, 10, 6, 19, 11, 16, 0, 18, 8, 5, 9, 14, 13, 3, 17, 7, 12, 4]"
1939,"[5, 18, 8, 4, 9, 12, 0, 7, 13, 6, 19, 14, 15, 17, 11, 1, 16, 2, 3, 10]"
1944,"[12, 16, 9, 0, 15, 13, 1, 17, 18, 5, 6, 2, 14, 4, 10, 3, 19, 7, 8, 11]"
1948,"[7, 12, 17, 10, 14, 1, 6, 5, 8, 2, 4, 3, 19, 9, 13, 18, 0, 11, 15, 16]"
1949,"[9, 13, 19, 2, 11, 6, 5, 18, 4, 15, 12, 1, 8, 16, 14, 7, 17, 10, 3, 0]"
1950,"[18, 17, 12, 5, 9, 7, 13, 1, 10, 0, 19, 4, 3, 15, 6, 14, 16, 8, 11, 2]"
1951,"[0, 18, 8, 13, 9, 1, 17, 16, 12, 4, 6, 15, 14, 3, 19, 5, 11, 10, 2, 7]"
1956,"[15, 19, 8, 10, 17, 7, 1, 9, 11, 0, 12, 5, 13, 6, 2, 14, 4, 16, 3, 18]"
1956,"[17, 6, 12, 14, 2, 4, 0, 10, 8, 5, 1, 3, 11, 16, 13, 19, 18, 9, 7, 15]"
1960,"[8, 5, 2, 19, 4, 15, 14, 10, 13, 18, 1, 3, 9, 17, 16, 7, 11, 6, 12, 0]"
1960,"[13, 17, 2, 1, 6, 18, 8, 9, 15, 19, 16, 7, 5, 4, 3, 14, 10, 0, 11, 12]"
1962,"[16, 3, 1, 6, 9, 10, 8, 19, 2, 7, 18, 0, 11, 13, 4, 5, 17, 12, 14, 15]"
1963,"[8, 18, 7, 9, 1, 16, 12, 14, 17, 11, 4, 10, 19, 0, 3, 15, 13, 6, 2, 5]"
1965,"[0, 8, 7, 3, 13, 18, 6, 5, 2, 14, 15, 11, 16, 19, 10, 1, 12, 9, 17, 4]"
1967,"[15, 4, 3, 19, 1, 12, 10, 18, 16, 6, 13, 9, 2, 5, 8, 0, 11, 17, 7, 14]"
1967,"[10, 16, 9, 4, 11, 7, 14, 19, 17, 12, 15, 5, 6, 18, 3, 0, 13, 8, 2, 1]"
1969,"[5, 2, 19, 12, 15, 10, 17, 9, 3, 13, 7, 11, 18, 6, 16, 14, 1, 4, 0, 8]"
1969,"[0, 11, 4, 7, 14, 2, 10, 19, 18, 17, 9, 3, 5, 1, 16, 15, 8, 6, 12, 13]"
1970,"[13, 9, 15, 8, 10, 17, 2, 5, 7, 18, 3, 12, 11, 0, 16, 4, 19, 1, 14, 6]"
1970,"[10, 18, 17, 2, 4, 9, 15, 12, 7, 13, 1, 19, 16, 6, 11, 0, 5, 14, 8, 3]"
1971,"[10, 2, 1, 11, 6, 9, 15, 19, 18, 16, 0, 17, 4, 7, 14, 5, 12, 3, 13, 8]"
1977,"[8, 17, 0, 10, 4, 16, 7, 5, 19, 11, 15, 14, 9, 6, 3, 1, 12, 2, 13, 18]"
1978,"[11, 15, 5, 18, 12, 3, 19, 13, 6, 2, 16, 17, 8, 1, 0, 14, 7, 10, 4, 9]"
1980,"[8, 3, 0, 2, 11, 13, 5, 18, 10, 17, 15, 4, 1, 7, 14, 6, 12, 9, 16, 19]"
1981,"[4, 6, 0, 19, 5, 2, 7, 1, 11, 13, 3, 17, 12, 15, 9, 18, 10, 14, 16, 8]"
1983,"[12, 17, 8, 13, 6, 4, 3, 2, 16, 7, 5, 14, 9, 18, 15, 19, 10, 1, 0, 11]"
1983,"[18, 10, 8, 15, 9, 12, 17, 6, 16, 14, 7, 5, 0, 2, 13, 4, 3, 11, 19, 1]"
1984,"[5, 17, 1, 7, 18, 8, 14, 15, 19, 12, 3, 13, 6, 16, 11, 9, 2, 4, 0, 10]"
1984,"[9, 13, 3, 17, 18, 2, 1, 15, 7, 10, 6, 16, 4, 14, 0, 11, 5, 12, 8, 19]"
1989,"[16, 8, 4, 3, 6, 10, 7, 18, 1, 9, 15, 0, 5, 13, 11, 14, 19, 17, 2, 12]"
1990,"[8, 17, 16, 5, 4, 9, 14, 15, 12, 0, 11, 6, 13, 2, 1, 19, 7, 18, 10, 3]"
1992,"[8, 18, 5, 11, 6, 17, 14, 10, 16, 4, 9, 19, 12, 15, 13, 7, 3, 2, 0, 1]"
1993,"[12, 0, 13, 14, 9, 16, 15, 19, 10, 1, 4, 17, 2, 3, 8, 6, 7, 5, 18, 11]"
1994,"[6, 12, 3, 7, 11, 10, 0, 19, 18, 8, 9, 5, 15, 16, 13, 2, 1, 17, 14, 4]"
1999,"[4, 16, 5, 9, 8, 1, 7, 10, 3, 11, 12, 18, 15, 17, 6, 0, 14, 13, 19, 2]"
2000,"[12, 14, 6, 8, 10, 1, 17, 0, 2, 13, 15, 4, 11, 19, 18, 16, 3, 9, 7, 5]"
2001,"[14, 11, 6, 7, 13, 9, 19, 2, 5, 16, 18, 3, 12, 1, 15, 8, 17, 0, 10, 4]"
2006,"[7, 15, 16, 3, 13, 11, 8, 2, 10, 4, 17, 5, 6, 19, 0, 12, 18, 9, 1, 14]"
2008,"[3, 14, 12, 13, 4, 2, 17, 10, 7, 9, 8, 0, 5, 6, 1, 15, 16, 19, 18, 11]"
2012,"[18, 10, 5, 9, 14, 6, 13, 17, 19, 7, 15, 11, 2, 8, 12, 16, 4, 1, 3, 0]"
2016,"[11, 6, 19, 5, 0, 7, 17, 15, 16, 2, 10, 3, 8, 14, 18, 9, 12, 13, 1, 4]"
2025,"[6, 7, 12, 14, 19, 17, 13, 4, 3, 2, 15, 9, 16, 1, 8, 10, 11, 18, 0, 5]"
2026,"[1, 2, 18, 10, 11, 13, 12, 9, 17, 14, 16, 7, 3, 8, 4, 5, 0, 19, 6, 15]"
2027,"[1, 15, 0, 17, 3, 6, 8, 10, 18, 9, 14, 2, 19, 12, 7, 5, 16, 11, 4, 13]"
2028,"[0, 16, 15, 14, 4, 17, 5, 10, 19, 11, 7, 9, 2, 1, 13, 3, 6, 12, 18, 8]"
2030,"[6, 9, 18, 2, 3, 1, 7, 14, 13, 15, 19, 10, 12, 17, 4, 0, 11, 5, 16, 8]"
2030,"[4, 17, 19, 14, 9, 5, 18, 2, 1, 11, 3, 13, 15, 10, 7, 16, 8, 6, 12, 0]"
2031,"[1, 16, 3, 15, 4, 9, 19, 17, 2, 13, 11, 12, 8, 14, 0, 7, 6, 10, 18, 5]"
2031,"[13, 12, 1, 2, 7, 4, 14, 19, 17, 18, 15, 6, 3, 10, 5, 11, 9, 0, 16, 8]"
2033,"[14, 11, 4, 12, 6, 17, 0, 2, 8, 13, 10, 7, 19, 3, 15, 1, 16, 5, 9, 18]"
2033,"[4, 12, 14, 6, 11, 3, 18, 0, 1, 10, 19, 5, 15, 7, 2, 17, 16, 8, 13, 9]"
2034,"[5, 10, 1, 7, 18, 17, 14, 19, 12, 6, 8, 15, 2, 3, 9, 16, 4, 11, 0, 13]"
2034,"[15, 1, 17, 8, 9, 10, 5, 3, 14, 0, 19, 16, 6, 18, 7, 11, 2, 13, 4, 12]"
2036,"[12, 16, 4, 18, 13, 11, 6, 1, 3, 17, 8, 14, 0, 19, 10, 5, 15, 2, 7, 9]"
2042,"[14, 10, 8, 1, 16, 4, 2, 3, 5, 9, 13, 0, 17, 11, 7, 18, 12, 15, 19, 6]"
2043,"[17, 10, 2, 8, 4, 3, 5, 1, 19, 9, 12, 11, 0, 7, 15, 6, 16, 14, 18, 13]"
2044,"[3, 13, 8, 15, 11, 2, 9, 12, 17, 14, 16, 19, 1, 7, 5, 18, 6, 0, 4, 10]"
2044,"[16, 0, 7, 19, 2, 12, 3, 18, 11, 10, 6, 13, 1, 17, 15, 4, 8, 14, 5, 9]"
2045,"[2, 14, 18, 6, 9, 1, 3, 17, 19, 7, 8, 15, 11, 0, 5, 16, 10, 12, 4, 13]"
2046,"[18, 4, 2, 5, 7, 1, 13, 3, 10, 12, 8, 19, 0, 9, 11, 16, 6, 15, 17, 14]"
2050,"[2, 7, 6, 13, 16, 15, 5, 9, 10, 11, 8, 4, 14, 0, 19, 12, 3, 18, 1, 17]"
2058,"[1, 18, 9, 12, 10, 5, 11, 8, 13, 2, 19, 6, 15, 7, 17, 4, 14, 3, 16, 0]"
2058,"[16, 14, 8, 4, 19, 2, 0, 9, 7, 15, 5, 1, 18, 17, 13, 3, 10, 11, 12, 6]"
2062,"[18, 16, 6, 19, 9, 8, 14, 7, 5, 13, 10, 3, 4, 15, 0, 11, 17, 12, 2, 1]"
2063,"[14, 5, 18, 8, 6, 15, 9, 12, 4, 7, 17, 19, 0, 1, 10, 2, 11, 3, 16, 13]"
2063,"[5, 6, 0, 15, 16, 4, 17, 14, 2, 11, 18, 13, 10, 3, 8, 12, 9, 7, 19, 1]"
2064,"[1, 15, 18, 14, 10, 0, 19, 17, 16, 11, 3, 12, 4, 8, 13, 9, 6, 7, 5, 2]"
2066,"[19, 16, 10, 6, 11, 1, 18, 14, 13, 9, 17, 5, 3, 2, 15, 7, 12, 0, 8, 4]"
2072,"[1, 2, 0, 16, 15, 5, 7, 9, 3, 4, 10, 8, 18, 14, 6, 11, 17, 12, 19, 13]"
2082,"[19, 11, 5, 9, 15, 1, 2, 8, 6, 3, 12, 18, 14, 10, 4, 16, 17, 0, 7, 13]"
2083,"[15, 16, 2, 13, 9, 4, 8, 6, 18, 11, 3, 14, 12, 0, 7, 10, 19, 1, 17, 5]"
2095,"[14, 16, 1, 5, 3, 8, 9, 15, 17, 6, 2, 0, 10, 7, 19, 18, 12, 11, 13, 4]"
